ROWID,name,rank,station_rowid,designation,kgid,dob,gender,blood_group,is_physically_challenged,appointment_date
256,PSI Meghana Hegde,PSI,44,Investigating Officer,1016908,1979-09-22,Female,O-,0,2008-09-18
257,PSI Rohan Baig,PSI,44,Investigating Officer,1216429,1974-04-13,Male,O-,0,1997-05-29
258,Inspector Murali Lobo,Inspector,44,Station House Officer,2112556,1976-11-22,Male,A+,0,2000-12-21
259,ASI Darshan Amin,ASI,45,Investigating Officer,1181797,1985-10-22,Male,A-,0,2015-02-03
260,SI Ayesha Hiremath,SI,45,Investigating Officer,1580843,1985-06-26,Female,A-,0,2009-10-24
261,DySP Siddaraju Lobo,DySP,45,Sub-Division Officer,2272817,1972-11-10,Male,B-,0,1998-07-27
262,Inspector Manjunath Sequeira,Inspector,45,Station House Officer,2047700,1979-08-13,Male,A-,0,2002-12-08
263,SI Jagadish Madiwal,SI,45,Investigating Officer,2432233,1984-10-14,Male,B+,0,2012-07-13
264,PSI Shobha Gowda,PSI,46,Investigating Officer,1600808,1973-01-26,Female,AB+,0,2001-10-05
265,ASI Gagan Adiga,ASI,46,Investigating Officer,2931319,1980-02-10,Male,B-,0,2003-10-23
266,ASI Priya Kumar,ASI,46,Investigating Officer,2465229,1996-11-22,Female,AB+,0,2020-04-23
267,PSI Nagaraj Sharma,PSI,46,Investigating Officer,2396870,1985-02-15,Male,B+,0,2007-07-18
268,DySP Vinod Ballal,DySP,47,Sub-Division Officer,1779866,1988-09-26,Male,B+,0,2014-12-14
269,Inspector Venkatesh Lobo,Inspector,47,Station House Officer,1551445,1982-07-09,Male,A-,0,2012-08-02
270,Inspector Nagaraj Ballal,Inspector,47,Station House Officer,2875416,1977-06-06,Male,A-,0,2003-07-22
271,Inspector Santhosh Devadiga,Inspector,47,Station House Officer,2929854,1979-01-16,Male,B+,0,2006-07-24
272,Inspector Prakash Udupa,Inspector,47,Station House Officer,1674867,1994-12-21,Male,B-,0,2023-04-07
273,SI Ravi Karanth,SI,48,Investigating Officer,2686819,1988-11-02,Male,A+,0,2013-02-18
274,PSI Chaitra Moily,PSI,48,Investigating Officer,1016712,1981-06-03,Female,O-,0,2012-01-15
275,ASI Chandru Fernandes,ASI,48,Investigating Officer,2536086,1986-06-19,Male,B-,0,2015-09-20
276,SI Ganesh Murthy,SI,48,Investigating Officer,2591589,1992-12-01,Male,AB+,0,2019-11-25
277,SI Lokesh Acharya,SI,48,Investigating Officer,2492443,1979-07-16,Male,O+,0,2001-09-20
278,ASI Wilson Swamy,ASI,48,Investigating Officer,1200439,1983-08-24,Male,B+,0,2007-06-11
279,SI Sandhya Shetty,SI,49,Investigating Officer,2942050,1976-04-10,Female,AB+,0,2002-09-12
280,PSI Yash Suvarna,PSI,49,Investigating Officer,1221580,1974-04-05,Male,B+,0,1997-06-17
281,SI Venkatesh Adiga,SI,49,Investigating Officer,1555761,1996-04-15,Male,A-,0,2022-12-02
282,ASI Chandru Iyengar,ASI,49,Investigating Officer,1191287,1991-01-07,Male,B-,0,2018-03-16
283,PSI Manjunath Pasha,PSI,49,Investigating Officer,2165919,1998-03-01,Male,B-,0,2026-10-11
284,PSI Savitha Joshi,PSI,49,Investigating Officer,1780643,1998-04-05,Female,A-,0,2023-10-21
285,DySP Ravi Reddy,DySP,49,Sub-Division Officer,2898086,1978-11-15,Male,O-,0,2002-12-26
286,Inspector Sandhya Poojary,Inspector,50,Station House Officer,1362402,1984-08-01,Female,O-,0,2013-02-28
287,Inspector Asha Suvarna,Inspector,50,Station House Officer,2046251,1973-10-20,Female,AB+,0,1999-03-14
288,SI Harish Jadhav,SI,50,Investigating Officer,2322787,1985-04-21,Male,A+,0,2015-08-19
289,SI Satish Kotian,SI,50,Investigating Officer,1814494,1987-06-19,Male,O+,0,2017-11-22
290,Inspector Karthik Reddy,Inspector,50,Station House Officer,1749591,1996-05-02,Male,B-,0,2026-01-21
291,PSI Ambika Sharma,PSI,50,Investigating Officer,2775249,1998-12-02,Female,AB+,0,2024-09-15
292,PSI Anil Naik,PSI,50,Investigating Officer,2475247,1982-12-23,Male,O-,0,2009-12-30
293,DySP Vanitha Achar,DySP,51,Sub-Division Officer,1079615,1987-09-10,Female,A-,0,2012-05-12
294,SI Mahesh Rai,SI,51,Investigating Officer,2503527,1982-10-07,Male,B+,0,2007-03-24
295,PSI Abhishek Shetty,PSI,51,Investigating Officer,2804954,1990-12-05,Male,O-,0,2014-08-25
296,PSI Sudeep Kini,PSI,51,Investigating Officer,2660614,1981-06-05,Male,AB-,0,2006-01-08
297,Inspector Vidya Baig,Inspector,51,Station House Officer,1643454,1991-06-08,Female,O+,0,2015-12-12
298,DySP Sudeep Devadiga,DySP,51,Sub-Division Officer,2341436,1990-01-06,Male,A-,0,2017-04-22
299,PSI Fathima Hegde,PSI,51,Investigating Officer,1936650,1982-03-21,Female,A+,0,2005-09-02
300,PSI Shivakumar Biradar,PSI,51,Investigating Officer,1919014,1975-12-01,Male,AB+,0,1998-06-10
301,SI Murali Biradar,SI,52,Investigating Officer,1946418,1975-08-26,Male,A-,0,2000-11-10
302,PSI Saraswathi Shinde,PSI,52,Investigating Officer,1337441,1975-02-11,Female,A-,0,1999-08-16
303,ASI Harish Kattimani,ASI,52,Investigating Officer,2976444,1991-08-23,Male,B+,0,2014-03-25
304,SI Manjunath Deshpande,SI,52,Investigating Officer,1556300,1978-07-23,Male,O+,0,2009-04-17
305,SI Ramya Karanth,SI,52,Investigating Officer,1896754,1987-03-02,Female,A-,0,2014-02-24
306,PSI Riyaz Bhat,PSI,52,Investigating Officer,1993149,1978-03-21,Male,A-,0,2004-04-24
307,ASI Mustafa Shanbhag,ASI,52,Investigating Officer,1778086,1974-11-18,Male,AB+,0,2003-02-13
308,PSI Bhavya Salian,PSI,53,Investigating Officer,2577551,1998-05-19,Female,A-,0,2020-07-29
309,DySP Sagar Swamy,DySP,53,Sub-Division Officer,2716320,1990-04-18,Male,AB+,0,2012-10-27
310,Inspector Farhan Karanth,Inspector,53,Station House Officer,2052983,1987-05-03,Male,B+,0,2015-05-13
311,DySP Anil Nayak,DySP,53,Sub-Division Officer,1164350,1997-04-05,Male,AB+,0,2019-11-02
312,ASI Anand Achar,ASI,53,Investigating Officer,1813902,1982-12-26,Male,AB+,0,2006-02-02
313,Inspector Wilson Salian,Inspector,53,Station House Officer,1235969,1972-12-20,Male,AB+,0,2003-07-15
314,PSI Girish Madiwal,PSI,53,Investigating Officer,2845778,1996-02-26,Male,O-,0,2022-11-20
315,ASI Mustafa Karanth,ASI,54,Investigating Officer,2296552,1973-03-09,Male,AB+,0,2001-05-14
316,PSI Rakesh Baig,PSI,54,Investigating Officer,1708556,1995-08-09,Male,O+,0,2022-08-12
317,PSI Girish Moily,PSI,54,Investigating Officer,2528403,1981-12-15,Male,AB+,0,2009-04-24
318,Inspector Bhavya Acharya,Inspector,54,Station House Officer,2721798,1985-12-16,Female,A+,0,2016-06-17
319,SI Divya Sait,SI,54,Investigating Officer,1404254,1976-09-19,Female,B-,0,1998-12-11
320,Inspector Abdul Shetty,Inspector,54,Station House Officer,2059326,1994-04-09,Male,AB+,0,2021-11-25
321,SI Ajay Angadi,SI,55,Investigating Officer,2156230,1986-03-28,Male,O-,0,2016-01-15
322,Inspector Krishna Fernandes,Inspector,55,Station House Officer,1341641,1974-05-01,Male,B-,0,2002-05-19
323,ASI Chetan Jadhav,ASI,55,Investigating Officer,2911586,1988-01-28,Male,B+,0,2010-09-21
324,PSI Suresh Murthy,PSI,55,Investigating Officer,2877963,1997-05-23,Male,AB+,0,2023-12-19
325,ASI Syed Pawar,ASI,56,Investigating Officer,2072722,1998-10-13,Male,O-,0,2021-10-10
326,ASI Siddaraju Pawar,ASI,56,Investigating Officer,2806678,1987-02-11,Male,O+,0,2013-07-20
327,PSI Chandru Bhat,PSI,56,Investigating Officer,2427648,1996-04-02,Male,B+,0,2024-09-05
328,Inspector Hanumantha Patil,Inspector,56,Station House Officer,2484928,1984-07-24,Male,B-,0,2007-05-13
329,Inspector Gagan Amin,Inspector,56,Station House Officer,2762947,1993-06-17,Male,B+,0,2019-09-06
330,Inspector Krishna DSouza,Inspector,56,Station House Officer,1466099,1996-03-22,Male,O-,0,2023-04-30
331,Inspector Nithin Sequeira,Inspector,56,Station House Officer,2785124,1983-05-19,Male,A-,0,2010-01-04
332,Inspector Ravi Kotian,Inspector,57,Station House Officer,1625697,1988-02-28,Male,AB+,0,2016-11-18
333,SI Raghavendra Bhat,SI,57,Investigating Officer,2633558,1990-08-05,Male,A-,0,2017-10-29
334,ASI Anil Shinde,ASI,57,Investigating Officer,2208544,1972-08-09,Male,B+,0,1997-10-28
335,ASI Harish Kamath,ASI,57,Investigating Officer,1803872,1992-07-13,Male,A+,0,2021-03-07
336,Inspector Deepa Gowda,Inspector,57,Station House Officer,2314257,1996-09-07,Female,B-,0,2018-09-04
337,PSI Puneeth Kamath,PSI,57,Investigating Officer,2727725,1988-10-10,Male,A+,0,2012-11-06
338,SI Wilson Prabhu,SI,57,Investigating Officer,1753403,1985-11-05,Male,B-,0,2013-07-06
339,PSI Vikram Reddy,PSI,57,Investigating Officer,1354386,1995-03-07,Male,A-,0,2017-11-14
340,SI Mohan Lobo,SI,58,Investigating Officer,1101156,1973-10-02,Male,A-,0,1996-10-06
341,ASI Mohan Kotian,ASI,58,Investigating Officer,1882631,1978-12-22,Male,A-,0,2001-05-19
342,Inspector Raghavendra Swamy,Inspector,58,Station House Officer,1239101,1975-09-24,Male,A-,0,1999-02-09
343,SI Krishna Achar,SI,58,Investigating Officer,1336327,1978-06-23,Male,A+,0,2006-11-14
